,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
420,51.6254,-177.0993,1.1015,1600815006,461,21,2.18,4.258,-,earthquake — poor location
421,53.555,-167.3997,20.1544,1600819082,462,7,-999,0.1556,-,earthquake
422,51.0564,-174.7938,0.0647,1600821403,463,21,2.47,2.7139,-,earthquake
423,51.3386,-176.5245,32.8096,1600822394,464,5,-999,0.1221,-,"earthquake, very small, low SNR"
425,52.1622,-176.5389,0.5564,1600824828,466,8,-999,2.0688,-,earthquake
426,51.1419,-175.8315,0,1600849187,467,6,-999,2.1248,-,earthquake
428,51.1017,-174.2193,300,1600851716,469,13,2.31,-1,-,earthquake — P-only location
429,50.4929,-174.4547,3.7302,1600851725,470,10,2.63,0.5158,D,Duplicate of matched evids #471 and/or #473
432,51.2093,-177.2194,19.4527,1600858014,474,7,-999,0.3482,-,"earthquake, low SNR"
433,51.7993,-177.4875,0,1600860801,475,7,-999,4.7929,-,"earthquake, poor location"
435,52.321,-174.1236,0.0123,1600872555,477,8,0.58,0.5998,V,"volcanic (type a), one subnet only — Korovin"
437,51.9138,-176.1579,0.091,1600880389,479,9,0.79,4.6166,-,earthquake
439,51.8201,-174.0164,35.4858,1600887246,481,8,-999,0.4312,-,"earthquake, small, one subnet only"
440,52.2306,-174.908,30.5621,1600891152,482,7,2.16,0.9462,n,"real earthquake, but picked on Pn/Pg not S-phases (""Phantom Quake"")"
442,53.3978,-167.9018,50,1600919420,484,4,-999,-1,-,earthquake
444,53.7366,-165.5978,6.5637,1600923595,486,12,1.9,7.942,-,"earthquake, poor location"
446,50.4029,-176.4172,0,1600927971,488,17,2.32,7.4067,-,earthquake
447,51.249,-176.5889,99.967,1600928016,489,9,-999,2.859,-,"earthquake, in coda of larger event"
450,52.2235,-174.4655,8.1979,1600931507,492,22,-999,3.9698,-,earthquake
451,51.7471,-174.4781,32.5378,1600931944,493,6,1.96,0.66,-,"earthquake, low SNR"
452,50.7242,-173.7611,40,1600935219,494,9,2.83,-1,n,"distant earthquake — S-only location, no Ps, incorrect location"
453,51.9187,-176.7592,0.4782,1600936363,495,11,0.48,3.742,-,earthquake
454,51.7184,-177.1631,0,1600938465,496,20,1.56,5.1439,-,"earthquake, poor location"
459,53.9064,-165.6494,16.3082,1600960218,501,6,2.01,0.9915,-,earthquake
464,51.9791,-177.2356,27.8379,1600975443,507,13,2.57,0.295,-,earthquake — distant
