,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
347,60.2157,-141.1923,18.7874,1664495230,1342,13,-999,0.4381,-,earthquake
349,60.0844,-141.7845,28.711,1664496031,1344,5,-999,1.1578,-,earthquake (tiny)
352,60.2671,-141.184,0.0852,1664499690,1348,9,1.18,0.8819,-,earthquake
353,60.4099,-143.8773,0.3967,1664515129,1349,6,-999,0.8867,-,earthquake (small)
356,60.2036,-143.3234,0.2765,1664574704,1353,17,1.38,0.6047,-,earthquake (small)
359,60.517,-144.4944,13.781,1664580271,1357,10,-999,0.8389,-,"regional earthquake, P-only location "
361,60.9,-144.4067,7.5744,1664586180,1359,10,-999,0.6876,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
362,61.3116,-144.9079,35.6693,1664586174,1360,8,-999,0.952,D,dupicate of evid #1359
365,60.4603,-143.0121,24.8191,1664588660,1363,7,1.86,0.659,-,"earthquake (small, in coda of preceeding event)"
369,60.3923,-141.116,0,1664596208,1368,7,-999,1.3412,-,earthquake (small)
370,60.3812,-141.128,0.0515,1664596304,1369,8,1.13,1.1745,-,"earthquake (small, noisey)"
372,60.153,-141.3046,25.9537,1664604737,1372,18,1.52,1.8091,-,earthquake
373,60.9631,-143.9466,35,1664604786,1373,13,1.85,-1,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
374,61.4126,-142.1867,29.2005,1664604790,1376,6,1.77,0.6475,D,duplicate of evid #1373
375,59.6371,-141.4848,0.0509,1664604800,1377,4,2.17,0.4091,n,"""phantom event"" on regional signal — Sn/Sg phase arrivals (S-only location)"
378,60.8099,-144.4016,0,1664628837,1381,7,-999,0.8811,-,earthquake
380,60.1625,-141.1008,17.521,1664640509,1383,8,-999,0.3912,-,earthquake
382,60.2104,-141.3109,15.2566,1664644759,1385,7,-999,0.4886,-,earthquake
384,60.0024,-140.7516,20.3544,1664664885,1388,7,1.51,0.4145,-,earthquake (small)
385,60.4138,-141.3504,0.0199,1664666610,1389,7,-999,0.9565,-,earthquake (small)
387,60.2143,-140.6724,25.1824,1664686568,1391,7,-999,0.4304,-,earthquake
389,60.1312,-141.277,24.73,1664693874,1393,10,-999,0.6443,-,earthquake
390,60.3523,-141.3332,0,1664695039,1394,9,-999,1.226,-,earthquake
391,60.3422,-141.3763,0.5868,1664696814,1395,11,-999,1.1831,-,earthquake
396,60.2902,-140.7543,11.8278,1664733400,1400,12,1.67,1.5412,-,earthquake
398,59.3995,-142.4452,0.0981,1664734459,1402,10,2.24,6.8304,-,"earthquake (poor location, includes impulsive noise on one station)"
400,60.1884,-143.0336,60.3887,1664736253,1404,7,-999,2.4494,-,earthquake (small)
401,60.1501,-143.7466,13.4971,1664740918,1405,17,2.1,0.7962,-,earthquake (some erroneous phase-picks)
402,60.9251,-144.9955,10.5386,1664744122,1407,9,2.64,0.9056,-,earthquake (more regional signal)
403,60.4757,-140.846,20.0241,1664751299,1408,11,1.22,1.5724,-,earthquake
404,60.4888,-144.6769,27.6659,1664751857,1409,10,-999,0.7702,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
405,59.5965,-141.6849,14.7547,1664751863,1410,6,2.72,0.5428,D,duplicate of evid #1409
406,60.3431,-141.3691,0.0168,1664766235,1412,12,0.91,1.2871,-,earthquake
407,60.1524,-140.8998,5.7304,1664796511,1413,12,1.34,0.8372,-,earthquake
409,60.3583,-143.6363,0.6892,1664797889,1416,7,-999,0.3813,-,earthquake
410,60.063,-139.2673,0.2504,1664799067,1417,9,-999,0.3744,-,earthquake
411,59.3723,-140.9728,34.8563,1664805824,1418,11,2.35,2.3248,-,earthquake (regional signal with poor S-phase picks)
412,60.9063,-144.7909,28.4906,1664808067,1419,7,1.86,1.1214,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
414,60.2334,-143.4979,11.779,1664809961,1422,5,-999,0.7612,n,"""phantom event"" on regional signal — Sn/Sg phase arrivals"
415,60.3438,-141.3547,0.0385,1664812837,1423,12,-999,1.2744,-,earthquake
417,60.5919,-144.4486,14.8483,1664816429,1425,8,-999,0.1809,D,"""phantom event"" on regional signal — Pn/Pg phase arrivals, duplicate of S-only location evid #1428"
419,60.301,-140.7746,99.902,1664818280,1429,8,1.26,3.9933,-,"earthquake (poor location, deep 100k)"
420,60.2266,-141.2961,8.0009,1664820094,1430,6,0.81,1.2125,lf_G,low frequency glacial event
421,60.3711,-141.3031,1.6611,1664821329,1431,8,0.09,1.5713,-,earthquake
422,60.4889,-143.0594,0.0009,1664831649,1432,7,0.38,0.4999,-,earthquake
424,60.2203,-141.0137,0.0582,1664840843,1434,10,0.97,0.766,-,earthquake
426,59.7324,-141.2703,0.0942,1664844788,1436,14,1.74,1.7151,lf_G,low frequency glacial event
430,60.585,-141.2215,32.3193,1664849368,1442,10,0.52,0.5064,-,earthquake
431,59.9673,-143.1495,0.1039,1664851618,1443,5,1.53,1.2149,-,earthquake (tiny)
432,60.357,-143.0793,0.0845,1664852447,1444,8,-999,0.9445,-,earthquake
434,61.0708,-144.9299,38.2715,1664869429,1446,6,1.09,0.6359,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
435,60.8875,-144.5888,28.3099,1664870080,1447,5,-999,0.2283,-,"regional earthquake, P-only location"
436,60.5549,-143.5105,17.901,1664884692,1448,8,-999,0.8415,-,"regional earthquake, P-only location"
437,60.4002,-144.4853,43.9433,1664884723,1449,4,1.27,0.1968,D,duplicate of evid #1448 (S-only location)
440,60.7142,-143.1848,35,1664894831,1453,4,1.93,-1,n,"""phantom event"" on regional signal — Sn/Sg phase arrivals"
443,59.8733,-141.6291,27.2236,1664913132,1457,8,-999,0.4101,-,"earthquake (small, noisy)"
444,60.4788,-143.0072,10.7661,1664929534,1458,7,0.72,0.1567,-,earthquake
445,60.2974,-141.6595,0.0385,1664940019,1459,9,0.57,0.5005,-,earthquake
